loan_amnt,term,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,policy_code,tot_coll_amt,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,year_issued,default_status
32000, 36 months,B3,Back Office,4 years,MORTGAGE,46000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,989xx,WA,18.24,0.0,Apr-2008,0.0,15.0,0.0,10573,17.6,34.0,w,0.0,1,0.0,60100.0,6.0,6510.0,39927.0,20.9,0.0,0.0,90.0,125.0,12.0,12.0,1.0,12.0,14.0,0.0,3.0,3.0,6.0,11.0,3.0,13.0,30.0,0.0,0.0,0.0,2.0,100.0,16.7,0.0,0.0,173252.0,23640.0,50500.0,25363.0,2018,1
30775, 60 months,B4,technician,1 year,OWN,58000.0,Not Verified,Sep-2018,credit_card,Credit card refinancing,685xx,NE,19.9,0.0,Aug-2005,0.0,9.0,0.0,13468,51.4,21.0,w,0.0,1,0.0,26200.0,0.0,21057.0,12732.0,51.4,0.0,0.0,157.0,157.0,97.0,30.0,3.0,148.0,3.0,0.0,2.0,2.0,2.0,3.0,14.0,2.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,240200.0,32034.0,26200.0,44900.0,2018,1
2000, 36 months,C2,,,RENT,13000.0,Not Verified,Sep-2018,other,Other,840xx,UT,8.13,0.0,Oct-2008,0.0,1.0,0.0,3061,72.9,18.0,w,0.0,1,0.0,4200.0,1.0,3061.0,1139.0,72.9,0.0,0.0,119.0,73.0,50.0,15.0,0.0,50.0,,0.0,1.0,1.0,1.0,3.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4200.0,3061.0,4200.0,0.0,2018,1
1200, 36 months,E5,Apprentice Electrician,< 1 year,RENT,37000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,983xx,WA,25.4,0.0,May-2012,1.0,4.0,0.0,763,30.5,7.0,f,0.0,1,0.0,2500.0,4.0,8680.0,,,0.0,0.0,75.0,47.0,14.0,3.0,0.0,,3.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,100.0,,0.0,0.0,40233.0,34720.0,0.0,37733.0,2018,1
5000, 36 months,D5,sales,4 years,RENT,102000.0,Verified,Sep-2018,other,Other,852xx,AZ,0.29,0.0,Aug-2011,1.0,4.0,0.0,671,1.7,4.0,w,0.0,1,0.0,40400.0,0.0,168.0,39729.0,1.7,0.0,0.0,,84.0,31.0,31.0,0.0,31.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,40400.0,671.0,40400.0,0.0,2018,1
10000, 60 months,D4,LVN,3 years,RENT,65000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,920xx,CA,16.91,0.0,Aug-2012,1.0,19.0,0.0,11232,49.7,24.0,w,0.0,1,0.0,22600.0,4.0,3345.0,7287.0,38.2,0.0,0.0,73.0,59.0,13.0,2.0,0.0,28.0,3.0,0.0,1.0,5.0,2.0,2.0,13.0,9.0,11.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,0.0,86631.0,60203.0,11800.0,64031.0,2018,1
12000, 60 months,B5,Maintenance ,6 years,MORTGAGE,48000.0,Source Verified,Sep-2018,credit_card,Credit card refinancing,191xx,PA,3.25,0.0,Sep-2002,1.0,6.0,0.0,6049,21.2,35.0,w,0.0,1,0.0,28600.0,4.0,19384.0,17297.0,25.8,0.0,0.0,145.0,192.0,6.0,6.0,3.0,6.0,0.0,0.0,2.0,3.0,3.0,17.0,3.0,5.0,29.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,155135.0,6049.0,23300.0,0.0,2018,1
16800, 60 months,B4,Loan Document Specialist,10+ years,MORTGAGE,84000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,852xx,AZ,16.41,0.0,Oct-2004,0.0,16.0,0.0,11968,24.6,28.0,w,0.0,1,0.0,48600.0,8.0,16915.0,17432.0,30.5,0.0,0.0,140.0,167.0,3.0,3.0,3.0,3.0,22.0,1.0,4.0,8.0,5.0,5.0,11.0,13.0,14.0,0.0,0.0,0.0,2.0,96.4,40.0,0.0,0.0,323076.0,31918.0,25100.0,27041.0,2018,1
10000, 60 months,C4,Senior Vice President,10+ years,RENT,100000.0,Not Verified,Sep-2018,debt_consolidation,Debt consolidation,335xx,FL,23.08,1.0,Oct-1996,2.0,13.0,0.0,19366,45.0,44.0,w,0.0,1,0.0,43000.0,6.0,25521.0,16434.0,54.1,0.0,0.0,263.0,170.0,1.0,1.0,6.0,1.0,1.0,0.0,4.0,4.0,6.0,9.0,23.0,8.0,15.0,0.0,0.0,0.0,2.0,93.0,33.3,0.0,0.0,438985.0,62822.0,35800.0,78436.0,2018,1
14275, 36 months,C5,,,OWN,11900.0,Verified,Sep-2018,home_improvement,Home improvement,321xx,FL,0.0,0.0,Apr-1988,0.0,1.0,0.0,0,0.0,5.0,w,0.0,1,0.0,6500.0,1.0,0.0,6500.0,0.0,0.0,0.0,123.0,365.0,10.0,10.0,0.0,10.0,,1.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,0.0,6500.0,0.0,6500.0,0.0,2018,1
40000, 36 months,B1,Software Test engineer,3 years,RENT,108000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,750xx,TX,6.86,0.0,Jan-2010,2.0,4.0,0.0,3292,13.3,15.0,w,0.0,1,0.0,24800.0,3.0,3594.0,21508.0,13.3,0.0,0.0,68.0,104.0,17.0,16.0,0.0,17.0,0.0,0.0,2.0,2.0,2.0,8.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,46704.0,14375.0,24800.0,21904.0,2018,1
18900, 60 months,E2,Assistant Manager,8 years,RENT,42000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,023xx,MA,29.2,0.0,Dec-2005,0.0,13.0,0.0,14862,53.0,20.0,w,0.0,1,0.0,28300.0,2.0,5952.0,9433.0,53.0,0.0,0.0,153.0,143.0,42.0,13.0,0.0,42.0,2.0,0.0,3.0,3.0,4.0,4.0,14.0,3.0,6.0,,0.0,0.0,0.0,100.0,66.7,0.0,0.0,90042.0,77387.0,28300.0,61742.0,2018,1
7125, 36 months,E4,Production,10+ years,RENT,30000.0,Not Verified,Sep-2018,other,Other,554xx,MN,24.84,0.0,Apr-2006,0.0,3.0,0.0,5611,80.2,4.0,w,0.0,1,0.0,7000.0,1.0,17077.0,1389.0,80.2,0.0,0.0,148.0,117.0,83.0,5.0,0.0,117.0,,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,37377.0,34153.0,7000.0,30377.0,2018,1
22450, 36 months,C5,Pharmacist,7 years,MORTGAGE,180000.0,Verified,Sep-2018,major_purchase,Major purchase,114xx,NY,35.49,0.0,Feb-1996,2.0,14.0,0.0,367712,48.0,30.0,w,0.0,1,0.0,413000.0,11.0,30017.0,17608.0,63.1,0.0,0.0,124.0,271.0,4.0,4.0,0.0,4.0,2.0,1.0,5.0,6.0,7.0,14.0,9.0,11.0,21.0,0.0,0.0,0.0,9.0,89.3,42.9,0.0,0.0,510560.0,420242.0,47700.0,97560.0,2018,1
18450, 60 months,E4,Process Engineer,< 1 year,RENT,83500.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,034xx,NH,30.76,0.0,Oct-2003,0.0,14.0,0.0,19531,43.5,19.0,w,0.0,1,0.0,44900.0,3.0,4809.0,19414.0,44.8,0.0,0.0,160.0,179.0,9.0,9.0,0.0,9.0,10.0,0.0,2.0,5.0,5.0,5.0,8.0,10.0,11.0,0.0,0.0,0.0,1.0,94.7,40.0,0.0,0.0,131492.0,67320.0,35200.0,86592.0,2018,1
6000, 36 months,D1,Customer Service Clerk,< 1 year,MORTGAGE,12000.0,Not Verified,Sep-2018,debt_consolidation,Debt consolidation,626xx,IL,67.4,0.0,Feb-2007,0.0,10.0,0.0,9659,79.8,17.0,f,0.0,1,0.0,12100.0,6.0,9816.0,752.0,58.2,0.0,0.0,139.0,67.0,9.0,9.0,1.0,9.0,15.0,0.0,2.0,6.0,2.0,2.0,9.0,6.0,7.0,0.0,0.0,0.0,3.0,100.0,50.0,0.0,0.0,107965.0,36549.0,1800.0,32365.0,2018,1
5475, 36 months,C4,,,MORTGAGE,18000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,853xx,AZ,36.47,0.0,May-1996,0.0,7.0,0.0,5694,36.7,10.0,w,0.0,1,152.0,15500.0,2.0,17622.0,2921.0,62.6,0.0,0.0,62.0,267.0,11.0,11.0,1.0,131.0,14.0,1.0,2.0,4.0,2.0,3.0,3.0,5.0,6.0,0.0,0.0,0.0,1.0,90.0,50.0,0.0,0.0,145061.0,27008.0,7800.0,25661.0,2018,1
4000, 36 months,D3,Mechanis,4 years,OWN,45760.0,Source Verified,Sep-2018,other,Other,331xx,FL,23.0,0.0,Sep-2008,0.0,6.0,0.0,0,0.0,16.0,f,0.0,1,0.0,4100.0,2.0,15016.0,3600.0,0.0,0.0,0.0,67.0,120.0,8.0,8.0,0.0,43.0,14.0,0.0,0.0,0.0,3.0,6.0,6.0,4.0,10.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,76111.0,60064.0,3600.0,72011.0,2018,1
40000, 60 months,A4,Systems Engineer,2 years,MORTGAGE,160000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,201xx,VA,10.28,0.0,Jun-1999,0.0,18.0,0.0,34965,30.8,36.0,w,0.0,1,0.0,113600.0,9.0,33020.0,53314.0,33.8,0.0,0.0,155.0,231.0,7.0,7.0,6.0,7.0,7.0,0.0,5.0,8.0,9.0,11.0,9.0,15.0,21.0,0.0,0.0,0.0,3.0,100.0,33.3,0.0,0.0,661016.0,58295.0,80500.0,34416.0,2018,1
1925, 36 months,D5,Supervisor,10+ years,RENT,65000.0,Verified,Sep-2018,medical,Medical expenses,751xx,TX,22.51,0.0,Oct-1992,3.0,20.0,0.0,6275,36.9,39.0,w,0.0,1,6589.0,17000.0,7.0,6525.0,317.0,84.9,0.0,0.0,128.0,311.0,6.0,6.0,3.0,29.0,1.0,7.0,2.0,9.0,3.0,4.0,11.0,16.0,25.0,0.0,0.0,0.0,4.0,76.9,100.0,0.0,0.0,135329.0,32608.0,2100.0,36729.0,2018,1
29000, 60 months,D2,Private banker,7 years,RENT,85000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,334xx,FL,22.53,0.0,Mar-2008,0.0,14.0,0.0,32087,82.9,17.0,w,0.0,1,0.0,38700.0,5.0,5201.0,6613.0,82.9,0.0,0.0,84.0,126.0,11.0,11.0,0.0,11.0,13.0,1.0,7.0,7.0,10.0,10.0,5.0,10.0,12.0,0.0,0.0,0.0,3.0,94.1,55.6,0.0,0.0,86139.0,67614.0,38700.0,47439.0,2018,1
8000, 36 months,D3,Sr. Project Consultant,5 years,MORTGAGE,90000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,662xx,KS,22.37,0.0,Jan-1996,0.0,13.0,1.0,25256,70.7,25.0,f,0.0,1,0.0,35700.0,9.0,24192.0,3537.0,76.6,0.0,0.0,164.0,271.0,5.0,5.0,4.0,12.0,8.0,0.0,3.0,8.0,3.0,5.0,7.0,9.0,14.0,0.0,0.0,0.0,6.0,100.0,33.3,1.0,0.0,308383.0,133362.0,15100.0,88683.0,2018,1
15000, 60 months,E2,Mechanic,10+ years,OWN,60000.0,Verified,Sep-2018,home_improvement,Home improvement,191xx,PA,6.04,1.0,Jul-2008,1.0,6.0,0.0,6679,31.5,7.0,w,0.0,1,0.0,21200.0,1.0,1113.0,7269.0,36.8,0.0,0.0,122.0,102.0,21.0,21.0,0.0,50.0,0.0,0.0,3.0,6.0,3.0,3.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,71.4,0.0,0.0,0.0,21200.0,6679.0,11500.0,0.0,2018,1
25000, 36 months,C4,Secretary ,5 years,RENT,53000.0,Source Verified,Sep-2018,other,Other,113xx,NY,27.69,0.0,Jun-2010,0.0,12.0,0.0,9359,25.7,19.0,w,0.0,1,0.0,36400.0,5.0,3004.0,14109.0,25.0,0.0,0.0,99.0,77.0,7.0,4.0,0.0,7.0,7.0,0.0,2.0,7.0,4.0,6.0,8.0,9.0,11.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,67644.0,36053.0,18800.0,31244.0,2018,1
10000, 60 months,A5,Collections,10+ years,RENT,41000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,917xx,CA,10.83,0.0,Feb-2007,0.0,9.0,1.0,11625,35.1,12.0,w,0.0,1,0.0,33100.0,4.0,1292.0,13173.0,43.9,0.0,0.0,,139.0,8.0,8.0,0.0,8.0,17.0,0.0,3.0,5.0,4.0,5.0,0.0,9.0,12.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,0.0,33100.0,11625.0,23500.0,0.0,2018,1
40000, 36 months,A1,physician,< 1 year,MORTGAGE,200000.0,Verified,Sep-2018,credit_card,Credit card refinancing,414xx,KY,21.49,0.0,Aug-2004,0.0,19.0,0.0,44502,57.2,38.0,w,0.0,1,0.0,77800.0,4.0,52546.0,18543.0,66.0,0.0,0.0,140.0,169.0,14.0,12.0,1.0,24.0,6.0,0.0,6.0,9.0,7.0,8.0,19.0,12.0,18.0,0.0,0.0,0.0,1.0,97.4,42.9,0.0,0.0,1011688.0,328232.0,54500.0,255887.0,2018,1
15000, 60 months,C1,,,OWN,15924.0,Not Verified,Sep-2018,credit_card,Credit card refinancing,460xx,IN,13.87,0.0,Nov-2001,0.0,3.0,0.0,5535,73.8,6.0,w,0.0,1,0.0,7500.0,0.0,1845.0,1965.0,73.8,0.0,0.0,131.0,202.0,57.0,54.0,0.0,191.0,,0.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0,7500.0,5535.0,7500.0,0.0,2018,1
6500, 36 months,A2,,,MORTGAGE,44000.0,Source Verified,Sep-2018,home_improvement,Home improvement,129xx,NY,30.5,0.0,Jun-2003,0.0,6.0,0.0,4180,17.6,16.0,w,0.0,1,0.0,23800.0,4.0,5133.0,17955.0,18.0,0.0,0.0,183.0,137.0,1.0,1.0,0.0,34.0,9.0,0.0,2.0,3.0,2.0,6.0,8.0,3.0,8.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,58789.0,30798.0,21900.0,34989.0,2018,1
6000, 36 months,A4,Administrative,8 years,OWN,56000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,330xx,FL,16.44,0.0,Nov-1996,0.0,8.0,1.0,7210,41.0,17.0,f,0.0,1,0.0,17600.0,4.0,32046.0,2030.0,74.6,0.0,0.0,56.0,262.0,3.0,3.0,1.0,89.0,5.0,0.0,1.0,3.0,1.0,4.0,5.0,5.0,11.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,277109.0,22541.0,8000.0,21414.0,2018,1
6000, 36 months,C2,UNT,10+ years,OWN,64356.0,Not Verified,Sep-2018,other,Other,785xx,TX,16.8,0.0,Jan-1977,1.0,19.0,0.0,4803,3.0,68.0,w,0.0,1,0.0,147300.0,5.0,1169.0,11810.0,2.0,0.0,0.0,103.0,500.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,18.0,29.0,30.0,6.0,18.0,61.0,,0.0,0.0,2.0,97.0,0.0,0.0,0.0,186516.0,22212.0,118100.0,39216.0,2018,1
20000, 60 months,C5,Assistant Systems Administrator,1 year,MORTGAGE,48000.0,Not Verified,Sep-2018,debt_consolidation,Debt consolidation,658xx,MO,29.4,0.0,Oct-2009,0.0,10.0,0.0,17248,64.1,18.0,w,0.0,1,0.0,26900.0,5.0,14992.0,4787.0,70.1,0.0,0.0,81.0,107.0,4.0,4.0,2.0,29.0,20.0,0.0,2.0,5.0,3.0,5.0,6.0,6.0,10.0,0.0,0.0,0.0,1.0,100.0,66.7,0.0,0.0,173484.0,31983.0,16000.0,24830.0,2018,1
40000, 60 months,C2,software engineer,3 years,RENT,100000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,850xx,AZ,5.97,0.0,Jul-2013,2.0,13.0,0.0,22052,23.2,20.0,w,0.0,1,0.0,95200.0,4.0,3423.0,61762.0,26.3,0.0,0.0,44.0,62.0,7.0,7.0,0.0,13.0,0.0,0.0,3.0,4.0,9.0,10.0,7.0,11.0,12.0,0.0,0.0,0.0,2.0,100.0,22.2,0.0,0.0,128774.0,44500.0,83800.0,33574.0,2018,1
5000, 36 months,C4,Sales ,9 years,OWN,80000.0,Not Verified,Sep-2018,debt_consolidation,Debt consolidation,299xx,SC,18.54,0.0,Nov-1973,1.0,13.0,0.0,10942,55.8,18.0,w,0.0,1,0.0,19600.0,5.0,3524.0,533.0,93.3,0.0,0.0,100.0,462.0,11.0,4.0,0.0,13.0,4.0,0.0,3.0,8.0,3.0,5.0,5.0,9.0,12.0,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0,60977.0,38761.0,8000.0,41377.0,2018,1
3025, 36 months,D2,Implementation Engineer,1 year,MORTGAGE,75000.0,Not Verified,Sep-2018,credit_card,Credit card refinancing,303xx,GA,23.66,0.0,Oct-1985,0.0,16.0,0.0,31294,82.1,34.0,f,0.0,1,0.0,38100.0,10.0,15478.0,3116.0,86.2,0.0,0.0,395.0,170.0,1.0,1.0,2.0,20.0,14.0,0.0,6.0,14.0,6.0,11.0,12.0,14.0,20.0,0.0,0.0,0.0,1.0,97.1,83.3,0.0,0.0,267973.0,40951.0,22500.0,18768.0,2018,1
14000, 60 months,D4,Graphic Designer ,3 years,RENT,50000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,972xx,OR,29.98,0.0,Feb-2011,1.0,17.0,0.0,7204,25.8,24.0,w,0.0,1,140.0,27900.0,11.0,6951.0,10309.0,27.4,0.0,0.0,84.0,90.0,1.0,1.0,0.0,1.0,4.0,0.0,3.0,7.0,5.0,5.0,12.0,12.0,12.0,0.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0,131968.0,118174.0,14200.0,104068.0,2018,1
24000, 60 months,E5,Professor,4 years,MORTGAGE,100000.0,Source Verified,Sep-2018,small_business,Business,432xx,OH,32.82,1.0,Jul-2005,0.0,8.0,0.0,32218,94.2,26.0,w,0.0,1,0.0,34200.0,4.0,63597.0,1982.0,94.2,0.0,0.0,158.0,85.0,10.0,1.0,4.0,10.0,0.0,0.0,3.0,3.0,3.0,5.0,14.0,3.0,8.0,0.0,0.0,1.0,3.0,96.2,100.0,0.0,0.0,557132.0,167862.0,34200.0,181561.0,2018,1
8400, 36 months,C1,,,RENT,45000.0,Not Verified,Sep-2018,debt_consolidation,Debt consolidation,150xx,PA,25.17,0.0,Jun-2004,0.0,16.0,0.0,11191,23.1,26.0,w,0.0,1,283.0,48500.0,2.0,1520.0,32200.0,24.8,0.0,0.0,112.0,171.0,4.0,4.0,0.0,4.0,,0.0,9.0,10.0,11.0,14.0,6.0,14.0,20.0,0.0,0.0,0.0,2.0,100.0,45.5,0.0,0.0,70287.0,24317.0,42800.0,21787.0,2018,1
32200, 36 months,C3,real estate broker,2 years,RENT,78000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,113xx,NY,0.38,0.0,May-1999,0.0,4.0,0.0,76,0.3,4.0,w,0.0,1,0.0,22900.0,2.0,19.0,22824.0,0.3,0.0,0.0,,231.0,4.0,4.0,0.0,4.0,,0.0,1.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,22900.0,76.0,22900.0,0.0,2018,1
5350, 36 months,B5,Officer,10+ years,RENT,140000.0,Source Verified,Sep-2018,medical,Medical expenses,330xx,FL,11.94,0.0,Jul-1989,0.0,12.0,0.0,202134,33.7,27.0,w,0.0,1,0.0,214300.0,8.0,18234.0,4698.0,47.8,0.0,0.0,167.0,349.0,3.0,2.0,0.0,10.0,22.0,0.0,5.0,9.0,5.0,8.0,10.0,10.0,17.0,0.0,0.0,0.0,6.0,96.2,0.0,0.0,0.0,232352.0,218813.0,9000.0,18052.0,2018,1
36000, 60 months,A4,,,MORTGAGE,30000.0,Source Verified,Sep-2018,house,Home buying,298xx,SC,23.6,0.0,Nov-1980,0.0,4.0,0.0,55,0.3,10.0,w,0.0,1,0.0,18100.0,1.0,31397.0,18045.0,0.3,0.0,0.0,136.0,453.0,153.0,15.0,1.0,356.0,,0.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,179930.0,3543.0,18100.0,23973.0,2018,1
14000, 60 months,C4,Service manager 2,4 years,MORTGAGE,50000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,553xx,MN,19.92,0.0,Jul-2010,0.0,6.0,0.0,18279,75.5,11.0,w,0.0,1,0.0,24200.0,2.0,4847.0,1567.0,90.9,0.0,0.0,96.0,98.0,14.0,14.0,0.0,14.0,23.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,81.8,100.0,0.0,0.0,41190.0,29079.0,17300.0,16990.0,2018,1
15000, 36 months,A4,marketing coordinator,2 years,RENT,48000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,906xx,CA,9.38,0.0,Feb-2007,0.0,4.0,0.0,2250,8.2,12.0,w,0.0,1,0.0,27500.0,1.0,4948.0,23250.0,8.8,0.0,0.0,103.0,138.0,55.0,5.0,0.0,55.0,5.0,0.0,2.0,2.0,2.0,3.0,8.0,3.0,4.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,45879.0,19792.0,25500.0,18379.0,2018,1
25675, 60 months,D4,,,MORTGAGE,90000.0,Not Verified,Sep-2018,debt_consolidation,Debt consolidation,852xx,AZ,14.0,0.0,May-1978,0.0,14.0,0.0,33529,70.0,24.0,w,0.0,1,0.0,47900.0,0.0,53657.0,12420.0,72.7,0.0,0.0,150.0,484.0,107.0,71.0,3.0,132.0,,0.0,8.0,11.0,8.0,11.0,3.0,12.0,17.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,827895.0,33529.0,45500.0,0.0,2018,1
25000, 36 months,E5,General Forman electrician ,10+ years,RENT,120000.0,Source Verified,Sep-2018,debt_consolidation,Debt consolidation,850xx,TX,21.8,0.0,Jun-2004,0.0,11.0,0.0,34295,91.4,18.0,f,0.0,1,0.0,37400.0,4.0,6128.0,467.0,98.5,0.0,0.0,167.0,129.0,15.0,12.0,1.0,15.0,15.0,1.0,5.0,7.0,5.0,7.0,7.0,7.0,10.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,89956.0,67405.0,30400.0,52556.0,2018,1
10000, 60 months,D3,Teacher,3 years,RENT,38000.0,Not Verified,Sep-2018,credit_card,Credit card refinancing,330xx,FL,30.86,0.0,Aug-2011,0.0,16.0,0.0,17095,57.0,17.0,w,0.0,1,0.0,30000.0,8.0,1809.0,8014.0,60.7,0.0,0.0,41.0,85.0,10.0,10.0,0.0,14.0,16.0,0.0,7.0,13.0,8.0,8.0,3.0,14.0,14.0,0.0,0.0,0.0,2.0,100.0,14.3,0.0,0.0,48967.0,27138.0,20400.0,18967.0,2018,1
5000, 36 months,D3,Nursing Assistant,5 years,RENT,50000.0,Verified,Sep-2018,car,Car financing,104xx,NY,15.27,1.0,Jun-1995,2.0,13.0,0.0,10005,25.7,29.0,f,0.0,1,0.0,41000.0,5.0,3317.0,23853.0,27.6,0.0,0.0,50.0,271.0,6.0,6.0,1.0,21.0,0.0,0.0,4.0,6.0,7.0,13.0,4.0,11.0,24.0,0.0,0.0,0.0,2.0,85.7,0.0,0.0,0.0,98750.0,22553.0,32200.0,15000.0,2018,1
30000, 60 months,E5,Driver,1 year,OWN,70000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,484xx,MI,29.59,0.0,Apr-2006,0.0,6.0,0.0,4241,77.1,12.0,w,0.0,1,0.0,5500.0,2.0,7216.0,265.0,93.4,0.0,0.0,77.0,148.0,18.0,18.0,0.0,148.0,20.0,0.0,1.0,2.0,1.0,4.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,65780.0,36079.0,4000.0,60280.0,2018,1
2000, 36 months,D1,registered nurse,6 years,MORTGAGE,135000.0,Source Verified,Sep-2018,home_improvement,Home improvement,933xx,CA,23.63,0.0,Jun-2006,1.0,11.0,0.0,14565,86.7,22.0,w,0.0,1,0.0,16800.0,1.0,54283.0,708.0,93.4,0.0,0.0,142.0,133.0,46.0,3.0,6.0,46.0,0.0,0.0,2.0,5.0,2.0,4.0,9.0,5.0,7.0,0.0,0.0,0.0,1.0,81.8,100.0,0.0,0.0,703378.0,90437.0,10800.0,129444.0,2018,1
12000, 60 months,C3,Restaurant Manager,4 years,RENT,49648.0,Source Verified,Sep-2018,small_business,Business,775xx,TX,29.49,0.0,Nov-1999,0.0,16.0,1.0,520,2.5,38.0,w,0.0,1,871.0,21100.0,7.0,3106.0,17480.0,2.9,0.0,0.0,226.0,191.0,11.0,11.0,0.0,11.0,12.0,3.0,3.0,3.0,5.0,8.0,24.0,8.0,14.0,0.0,0.0,0.0,4.0,89.5,0.0,1.0,0.0,85596.0,49700.0,18000.0,64496.0,2018,1
8900, 36 months,E4,,,OWN,38000.0,Verified,Sep-2018,debt_consolidation,Debt consolidation,531xx,WI,38.44,0.0,May-2000,0.0,7.0,1.0,6917,93.5,10.0,f,0.0,1,0.0,7400.0,4.0,5992.0,279.0,93.4,0.0,0.0,220.0,59.0,24.0,10.0,0.0,24.0,11.0,0.0,1.0,3.0,1.0,1.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,100.0,100.0,1.0,0.0,52005.0,41947.0,4200.0,44605.0,2018,1
35000, 36 months,C2,Executive casino host,6 years,RENT,90000.0,Source Verified,Sep-2018,medical,Medical expenses,606xx,IL,0.6,0.0,Jun-2011,2.0,2.0,0.0,312,1.3,3.0,w,0.0,1,0.0,23500.0,0.0,156.0,23188.0,1.3,0.0,0.0,50.0,87.0,68.0,50.0,0.0,68.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,23500.0,312.0,23500.0,0.0,2018,1
