loan_amnt,term,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,policy_code,tot_coll_amt,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,year_issued,default_status
7200, 36 months,B3,,< 1 year,MORTGAGE,65000.0,Not Verified,Nov-2018,debt_consolidation,Debt consolidation,087xx,NJ,13.02,0.0,Jul-1997,0.0,9.0,0.0,14750,62.8,14.0,w,0.0,1,489.0,23500.0,2.0,2225.0,5550.0,72.7,0.0,0.0,152.0,256.0,11.0,11.0,0.0,156.0,11.0,1.0,6.0,6.0,6.0,10.0,2.0,8.0,12.0,0.0,0.0,0.0,1.0,85.7,33.3,0.0,0.0,30700.0,20025.0,20300.0,7200.0,2018,1
5000, 36 months,C2,Global Account Manager,3 years,MORTGAGE,245000.0,Source Verified,Nov-2018,medical,Medical expenses,774xx,TX,20.72,0.0,Mar-1995,0.0,28.0,0.0,61160,88.8,74.0,w,0.0,1,0.0,68900.0,5.0,26096.0,1740.0,97.2,0.0,0.0,196.0,284.0,28.0,15.0,6.0,28.0,16.0,0.0,5.0,5.0,5.0,11.0,55.0,6.0,13.0,0.0,0.0,0.0,0.0,100.0,80.0,0.0,0.0,753665.0,333304.0,62900.0,267765.0,2018,1
7500, 36 months,C5,General manager,4 years,RENT,86000.0,Source Verified,Oct-2018,major_purchase,Major purchase,275xx,NC,0.21,0.0,Aug-2003,1.0,1.0,0.0,212,6.1,7.0,w,0.0,1,0.0,3500.0,0.0,212.0,3288.0,6.1,0.0,0.0,111.0,182.0,32.0,32.0,2.0,182.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3500.0,212.0,3500.0,0.0,2018,1
12000, 36 months,A5,,< 1 year,MORTGAGE,120000.0,Not Verified,Oct-2018,debt_consolidation,Debt consolidation,347xx,FL,15.22,0.0,Mar-2006,1.0,17.0,0.0,11979,10.8,24.0,w,0.0,1,0.0,110800.0,9.0,16164.0,79850.0,12.8,0.0,0.0,151.0,147.0,2.0,1.0,1.0,2.0,1.0,0.0,5.0,6.0,8.0,9.0,5.0,13.0,16.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,386164.0,52351.0,91600.0,44815.0,2018,1
10000, 36 months,B3,Secondary Science Director,10+ years,MORTGAGE,100000.0,Source Verified,Oct-2018,home_improvement,Home improvement,318xx,GA,25.01,0.0,Mar-2004,0.0,7.0,0.0,22071,96.0,35.0,w,0.0,1,0.0,23000.0,3.0,73414.0,929.0,96.0,0.0,0.0,175.0,121.0,34.0,5.0,2.0,80.0,15.0,0.0,1.0,1.0,2.0,4.0,29.0,2.0,4.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,458373.0,179432.0,23000.0,161229.0,2018,1
12500, 60 months,G4,,,OWN,27600.0,Verified,Oct-2018,debt_consolidation,Debt consolidation,729xx,AR,33.43,0.0,Nov-1973,1.0,7.0,0.0,9565,50.1,10.0,w,0.0,1,0.0,19100.0,5.0,3364.0,8288.0,49.2,0.0,0.0,8.0,539.0,5.0,5.0,0.0,5.0,2.0,0.0,2.0,5.0,3.0,5.0,1.0,6.0,9.0,0.0,0.0,0.0,2.0,100.0,66.7,0.0,0.0,34338.0,23547.0,16300.0,15238.0,2018,1
35000, 60 months,C1,Mgr,10+ years,MORTGAGE,150000.0,Source Verified,Oct-2018,credit_card,Credit card refinancing,048xx,ME,10.39,1.0,Feb-2005,0.0,18.0,0.0,43780,29.6,27.0,f,0.0,1,0.0,200900.0,9.0,17214.0,134427.0,39.0,0.0,0.0,109.0,164.0,18.0,18.0,2.0,18.0,6.0,0.0,8.0,9.0,14.0,17.0,3.0,17.0,21.0,0.0,0.0,0.0,0.0,91.7,28.6,0.0,0.0,520100.0,43780.0,177300.0,0.0,2018,1
4175, 36 months,C5,,,OWN,11000.0,Verified,Oct-2018,debt_consolidation,Debt consolidation,296xx,SC,24.34,0.0,Oct-2007,0.0,5.0,0.0,2572,25.0,8.0,f,0.0,1,0.0,10300.0,5.0,826.0,1500.0,0.0,0.0,0.0,132.0,46.0,9.0,9.0,0.0,9.0,15.0,0.0,0.0,3.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,12300.0,4128.0,1500.0,2000.0,2018,1
40000, 36 months,A5,Owner,10+ years,MORTGAGE,180000.0,Verified,Oct-2018,debt_consolidation,Debt consolidation,200xx,DC,11.47,1.0,Oct-1988,0.0,9.0,0.0,120355,80.8,21.0,w,0.0,1,0.0,139700.0,6.0,77644.0,1510.0,88.3,0.0,0.0,165.0,191.0,2.0,2.0,3.0,176.0,7.0,0.0,2.0,4.0,2.0,4.0,9.0,4.0,8.0,0.0,0.0,0.0,4.0,89.5,50.0,0.0,0.0,849431.0,152186.0,12900.0,43318.0,2018,1
11450, 36 months,C3,Boat Services Technician,4 years,RENT,59840.0,Source Verified,Oct-2018,moving,Moving and relocation,025xx,MA,16.06,0.0,Aug-2012,0.0,4.0,0.0,23852,66.3,8.0,w,0.0,1,0.0,36000.0,2.0,9269.0,10556.0,59.4,0.0,0.0,26.0,74.0,27.0,15.0,0.0,33.0,12.0,0.0,2.0,3.0,2.0,4.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,52685.0,37076.0,26000.0,16685.0,2018,1
35000, 60 months,B1,Administrator - Financial Management,10+ years,MORTGAGE,93500.0,Source Verified,Oct-2018,credit_card,Credit card refinancing,062xx,CT,17.07,0.0,Jul-1996,0.0,8.0,0.0,31540,36.6,15.0,w,0.0,1,0.0,74500.0,2.0,30014.0,38872.0,36.6,0.0,0.0,135.0,267.0,19.0,11.0,4.0,19.0,11.0,0.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,302137.0,45537.0,61300.0,23387.0,2018,1
6000, 36 months,B1,Clerk,6 years,MORTGAGE,56000.0,Source Verified,Oct-2018,debt_consolidation,Debt consolidation,481xx,MI,22.29,0.0,Sep-1993,2.0,18.0,0.0,31467,41.2,28.0,w,0.0,1,0.0,76300.0,2.0,6317.0,26394.0,11.4,0.0,0.0,163.0,301.0,29.0,6.0,3.0,29.0,0.0,0.0,4.0,9.0,6.0,9.0,5.0,13.0,19.0,0.0,0.0,0.0,1.0,96.4,16.7,0.0,0.0,178361.0,55667.0,29800.0,34428.0,2018,1
18000, 36 months,B2,,,MORTGAGE,62000.0,Verified,Oct-2018,home_improvement,Home improvement,197xx,DE,12.45,0.0,Nov-2000,0.0,7.0,0.0,24656,60.4,19.0,w,0.0,1,0.0,40800.0,1.0,70724.0,7604.0,69.6,0.0,0.0,85.0,215.0,36.0,21.0,3.0,126.0,,0.0,1.0,3.0,1.0,3.0,3.0,5.0,12.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,462066.0,32804.0,25000.0,7400.0,2018,1
9600, 36 months,C4,DIRECTOR USA OPERATIONS,10+ years,OWN,110000.0,Verified,Oct-2018,debt_consolidation,Debt consolidation,300xx,GA,1.91,0.0,Nov-1985,2.0,10.0,0.0,1130,4.0,22.0,w,0.0,1,0.0,31824.0,2.0,113.0,6300.0,1.0,0.0,0.0,,394.0,1.0,1.0,3.0,31.0,1.0,0.0,3.0,10.0,7.0,7.0,0.0,10.0,20.0,,0.0,0.0,2.0,95.0,0.0,0.0,0.0,31824.0,1130.0,18900.0,0.0,2018,1
8800, 36 months,B2,Advance Child Protection Specialist ,6 years,MORTGAGE,90000.0,Source Verified,Oct-2018,debt_consolidation,Debt consolidation,605xx,IL,17.87,0.0,Sep-2007,2.0,26.0,0.0,17599,30.9,47.0,f,0.0,1,0.0,57000.0,12.0,10897.0,10975.0,46.2,0.0,0.0,133.0,112.0,2.0,2.0,1.0,2.0,1.0,0.0,5.0,16.0,8.0,11.0,16.0,23.0,30.0,0.0,0.0,0.0,4.0,95.7,50.0,0.0,0.0,330080.0,114740.0,20400.0,101250.0,2018,1
16000, 60 months,D2,Consulting Manager,3 years,MORTGAGE,140000.0,Verified,Oct-2018,debt_consolidation,Debt consolidation,750xx,TX,16.42,0.0,Dec-2000,2.0,12.0,0.0,43722,45.4,36.0,w,0.0,1,0.0,96300.0,4.0,32688.0,35078.0,55.5,0.0,0.0,110.0,213.0,26.0,7.0,6.0,26.0,1.0,0.0,3.0,3.0,6.0,13.0,12.0,9.0,18.0,0.0,0.0,0.0,1.0,100.0,33.3,0.0,0.0,469057.0,85897.0,78800.0,55000.0,2018,1
25000, 36 months,E3,Senior Manager,3 years,MORTGAGE,230000.0,Verified,Oct-2018,debt_consolidation,Debt consolidation,441xx,OH,24.41,0.0,May-1992,3.0,13.0,0.0,93920,72.1,28.0,w,0.0,1,0.0,114600.0,8.0,47778.0,20198.0,61.0,0.0,0.0,146.0,317.0,17.0,4.0,3.0,17.0,0.0,0.0,2.0,4.0,5.0,8.0,11.0,8.0,14.0,0.0,0.0,0.0,5.0,100.0,40.0,0.0,0.0,647624.0,241823.0,92100.0,168224.0,2018,1
37000, 60 months,B2,Area Sales Manager,10+ years,MORTGAGE,185000.0,Source Verified,Oct-2018,debt_consolidation,Debt consolidation,740xx,OK,13.83,1.0,Dec-1989,0.0,7.0,0.0,46712,91.4,17.0,w,0.0,1,0.0,51100.0,2.0,33776.0,4388.0,91.4,0.0,0.0,130.0,346.0,51.0,5.0,3.0,51.0,19.0,0.0,4.0,4.0,4.0,5.0,6.0,4.0,8.0,0.0,0.0,0.0,2.0,94.1,75.0,0.0,0.0,271868.0,91141.0,51100.0,46468.0,2018,1
6000, 36 months,D2,Material handler,2 years,OWN,36000.0,Source Verified,Oct-2018,debt_consolidation,Debt consolidation,925xx,CA,25.97,0.0,Oct-2012,1.0,8.0,1.0,7276,37.3,15.0,w,0.0,1,0.0,19500.0,8.0,2510.0,7016.0,49.9,0.0,0.0,72.0,55.0,10.0,10.0,0.0,15.0,3.0,0.0,3.0,4.0,3.0,3.0,8.0,6.0,7.0,0.0,0.0,0.0,3.0,100.0,0.0,1.0,0.0,35575.0,20083.0,14000.0,16075.0,2018,1
10000, 60 months,C5,,,RENT,32652.0,Verified,Oct-2018,debt_consolidation,Debt consolidation,327xx,FL,22.6,1.0,Jun-1988,0.0,6.0,0.0,3687,55.9,33.0,w,0.0,1,0.0,6600.0,6.0,3600.0,398.0,84.1,0.0,0.0,153.0,310.0,4.0,4.0,3.0,47.0,8.0,1.0,1.0,3.0,1.0,8.0,7.0,5.0,23.0,0.0,0.0,1.0,2.0,78.1,100.0,0.0,0.0,26925.0,21597.0,2500.0,20325.0,2018,1
1600, 36 months,D3,manger,10+ years,RENT,75000.0,Source Verified,Oct-2018,medical,Medical expenses,708xx,LA,5.78,0.0,Jul-1995,1.0,16.0,0.0,20244,23.3,22.0,w,0.0,1,77.0,86800.0,7.0,1265.0,55926.0,26.4,0.0,0.0,44.0,278.0,3.0,3.0,0.0,3.0,0.0,0.0,5.0,6.0,13.0,14.0,2.0,16.0,20.0,0.0,0.0,0.0,2.0,100.0,23.1,0.0,0.0,86800.0,20244.0,76000.0,0.0,2018,1
