Feature 1,Feature 2,Correlation,Abs_Correlation,label_abs_corr_feat1,label_abs_corr_feat2, Feature 1 Missing , Feature 2 Missing 
num_actv_rev_tl,num_bc_tl,50.74%,50.74%,5.07%,1.56%, 3.33 , 3.33 
num_il_tl,total_bal_ex_mort,50.74%,50.74%,1.03%,1.03%, 3.33 , 2.36 
num_bc_tl,num_rev_tl_bal_gt_0,50.68%,50.68%,1.56%,5.06%, 3.33 , 3.33 
all_util,percent_bc_gt_75,50.51%,50.51%,7.38%,7.83%, 40.43 , 3.43 
mo_sin_rcnt_tl,num_tl_op_past_12m,-50.13%,50.13%,5.35%,7.72%, 3.33 , 3.33 
home_ownership,tot_cur_bal,-50.12%,50.12%,5.05%,5.24%, - , 3.33 
home_ownership,mort_acc,-49.99%,49.99%,5.05%,3.24%, - , 2.36 
home_ownership,tot_hi_cred_lim,-49.93%,49.93%,5.05%,6.20%, - , 3.33 
total_rev_hi_lim,tot_hi_cred_lim,49.84%,49.84%,5.74%,6.20%, 3.33 , 3.33 
delinq_2yrs,mths_since_recent_revol_delinq,-49.74%,49.74%,1.91%,0.67%, 0.00 , 66.98 
total_rev_hi_lim,num_bc_sats,49.68%,49.68%,5.74%,0.43%, 3.33 , 2.77 
bc_open_to_buy,num_bc_sats,49.53%,49.53%,8.08%,0.43%, 3.40 , 2.77 
open_acc,acc_open_past_24mths,49.27%,49.27%,1.78%,8.87%, 0.00 , 2.36 
acc_open_past_24mths,num_sats,49.14%,49.14%,8.87%,1.84%, 2.36 , 2.77 
num_actv_bc_tl,total_bc_limit,48.75%,48.75%,2.34%,7.27%, 3.33 , 2.36 
open_acc_6m,mo_sin_rcnt_tl,-48.70%,48.70%,6.07%,5.35%, 40.42 , 3.33 
open_acc_6m,open_rv_24m,48.69%,48.69%,6.07%,6.91%, 40.42 , 40.42 
open_il_24m,mths_since_rcnt_il,-48.48%,48.48%,6.07%,3.24%, 40.42 , 42.30 
revol_util,bc_open_to_buy,-47.96%,47.96%,6.95%,8.08%, 0.08 , 3.40 
inq_last_6mths,inq_last_12m,47.75%,47.75%,7.88%,6.37%, 0.00 , 40.42 
max_bal_bc,total_rev_hi_lim,47.62%,47.62%,3.23%,5.74%, 40.42 , 3.33 
open_rv_24m,num_rev_accts,47.09%,47.09%,6.91%,2.22%, 40.42 , 3.33 
open_act_il,total_bal_ex_mort,46.97%,46.97%,0.89%,1.03%, 40.42 , 2.36 
num_actv_bc_tl,num_rev_accts,46.96%,46.96%,2.34%,2.22%, 3.33 , 3.33 
revol_bal,total_bc_limit,46.86%,46.86%,1.79%,7.27%, - , 2.36 
total_rev_hi_lim,num_op_rev_tl,46.83%,46.83%,5.74%,2.36%, 3.33 , 3.33 
acc_open_past_24mths,num_op_rev_tl,46.80%,46.80%,8.87%,2.36%, 2.36 , 3.33 
mths_since_last_major_derog,num_tl_90g_dpd_24m,-46.75%,46.75%,1.14%,1.22%, 73.98 , 3.33 
delinq_2yrs,mths_since_recent_bc_dlq,-46.69%,46.69%,1.91%,0.31%, 0.00 , 76.74 
avg_cur_bal,mort_acc,46.66%,46.66%,5.62%,3.24%, 3.33 , 2.36 
all_util,bc_open_to_buy,-46.56%,46.56%,7.38%,8.08%, 40.43 , 3.40 
open_rv_24m,mo_sin_rcnt_rev_tl_op,-46.43%,46.43%,6.91%,5.12%, 40.42 , 3.33 
open_rv_12m,mo_sin_rcnt_rev_tl_op,-46.30%,46.30%,5.27%,5.12%, 40.42 , 3.33 
inq_last_12m,num_tl_op_past_12m,46.23%,46.23%,6.37%,7.72%, 40.42 , 3.33 
open_il_24m,num_il_tl,46.08%,46.08%,6.07%,1.03%, 40.42 , 3.33 
open_acc,open_rv_24m,45.89%,45.89%,1.78%,6.91%, 0.00 , 40.42 
revol_bal,tot_hi_cred_lim,45.70%,45.70%,1.79%,6.20%, - , 3.33 
open_rv_24m,num_sats,45.70%,45.70%,6.91%,1.84%, 40.42 , 2.77 
acc_open_past_24mths,mo_sin_rcnt_tl,-45.41%,45.41%,8.87%,5.35%, 2.36 , 3.33 
home_ownership,avg_cur_bal,-45.17%,45.17%,5.05%,5.62%, - , 3.33 
total_rev_hi_lim,total_bal_ex_mort,44.92%,44.92%,5.74%,1.03%, 3.33 , 2.36 
delinq_2yrs,pct_tl_nvr_dlq,-44.19%,44.19%,1.91%,0.37%, 0.00 , 3.33 
open_rv_12m,num_op_rev_tl,44.17%,44.17%,5.27%,2.36%, 40.42 , 3.33 
open_rv_24m,num_actv_rev_tl,44.04%,44.04%,6.91%,5.07%, 40.42 , 3.33 
revol_bal,tot_cur_bal,44.03%,44.03%,1.79%,5.24%, - , 3.33 
open_il_12m,mths_since_rcnt_il,-43.78%,43.78%,6.05%,3.24%, 40.42 , 42.30 
num_op_rev_tl,total_bc_limit,43.63%,43.63%,2.36%,7.27%, 3.33 , 2.36 
bc_open_to_buy,percent_bc_gt_75,-43.62%,43.62%,8.08%,7.83%, 3.40 , 3.43 
delinq_2yrs,mths_since_last_major_derog,-43.50%,43.50%,1.91%,1.14%, 0.00 , 73.98 
open_il_12m,acc_open_past_24mths,43.38%,43.38%,6.05%,8.87%, 40.42 , 2.36 
total_acc,acc_open_past_24mths,43.20%,43.20%,1.58%,8.87%, 0.00 , 2.36 
open_rv_24m,num_rev_tl_bal_gt_0,43.13%,43.13%,6.91%,5.06%, 40.42 , 3.33 
total_acc,total_bal_ex_mort,43.09%,43.09%,1.58%,1.03%, 0.00 , 2.36 
