feature,Original,abs_Original,Counterfactual_1,abs_Counterfactual_1,delta,abs_delta
delinq_2yrs,-0.3559918602219423,0.3559918602219423,-0.2871452290773925,0.2871452290773925,0.06884663114454981,0.06884663114454981
num_tl_90g_dpd_24m,-0.17707630823888484,0.17707630823888484,-0.11466914214408905,0.11466914214408905,0.062407166094795796,0.062407166094795796
annual_inc,-0.26417340550377827,0.26417340550377827,-0.32210188455172645,0.32210188455172645,-0.05792847904794818,0.05792847904794818
num_actv_bc_tl,-0.7307203526410067,0.7307203526410067,-0.6755157302734569,0.6755157302734569,0.05520462236754975,0.05520462236754975
emp_length,2.043512289791116,2.043512289791116,2.0984541675396797,2.0984541675396797,0.05494187774856352,0.05494187774856352
num_rev_accts,-0.13875073595843124,0.13875073595843124,-0.08395759846152161,0.08395759846152161,0.05479313749690963,0.05479313749690963
avg_cur_bal,0.3226368791494241,0.3226368791494241,0.3723371802564733,0.3723371802564733,0.04970030110704915,0.04970030110704915
loan_amnt,-0.9805141911698172,0.9805141911698172,-1.029777453124653,1.029777453124653,-0.04926326195483588,0.04926326195483588
total_rev_hi_lim,-0.6181004143762951,0.6181004143762951,-0.6670496869113878,0.6670496869113878,-0.048949272535092625,0.048949272535092625
mo_sin_old_rev_tl_op,-0.4359987956124621,0.4359987956124621,-0.38752396234464587,0.38752396234464587,0.04847483326781621,0.04847483326781621
mths_since_recent_bc,-0.4030444840323126,0.4030444840323126,-0.35800329258283015,0.35800329258283015,0.04504119144948243,0.04504119144948243
issue_month,0.08425080264341517,0.08425080264341517,0.12798404695814403,0.12798404695814403,0.04373324431472886,0.04373324431472886
sub_grade,-0.9931197343943448,0.9931197343943448,-0.9505195182633415,0.9505195182633415,0.04260021613100329,0.04260021613100329
total_bal_ex_mort,-0.8151628692195415,0.8151628692195415,-0.8566294623583667,0.8566294623583667,-0.04146659313882517,0.04146659313882517
delinq_amnt,-0.016864832881094128,0.016864832881094128,-0.05812176836169511,0.05812176836169511,-0.041256935480600984,0.041256935480600984
term_in_months,-0.631554793025144,0.631554793025144,-0.6644563688345385,0.6644563688345385,-0.03290157580939457,0.03290157580939457
inq_last_6mths,-0.6516186956146127,0.6516186956146127,-0.6822589897489941,0.6822589897489941,-0.030640294134381407,0.030640294134381407
num_op_rev_tl,-0.2762548303339299,0.2762548303339299,-0.3006465354746796,0.3006465354746796,-0.02439170514074973,0.02439170514074973
dti,-0.34249190808620106,0.34249190808620106,-0.3211471591669069,0.3211471591669069,0.021344748919294165,0.021344748919294165
pct_tl_nvr_dlq,-2.8925051235616315,2.8925051235616315,-2.8730159470522394,2.8730159470522394,0.01948917650939208,0.01948917650939208
mo_sin_old_il_acct,-0.08761868605126409,0.08761868605126409,-0.07512068590038912,0.07512068590038912,0.012498000150874974,0.012498000150874974
num_bc_sats,-0.9230064498133053,0.9230064498133053,-0.9337401071380369,0.9337401071380369,-0.010733657324731638,0.010733657324731638
pub_rec,-0.3603406238685828,0.3603406238685828,-0.3704630246673467,0.3704630246673467,-0.01012240079876392,0.01012240079876392
mths_since_recent_inq,0.9004580080771545,0.9004580080771545,0.8918908323967103,0.8918908323967103,-0.008567175680444183,0.008567175680444183
acc_open_past_24mths,0.4756374068021396,0.4756374068021396,0.46849472530624975,0.46849472530624975,-0.007142681495889869,0.007142681495889869
mo_sin_rcnt_rev_tl_op,-0.5212148747615747,0.5212148747615747,-0.5267976669868095,0.5267976669868095,-0.005582792225234834,0.005582792225234834
tot_hi_cred_lim,0.23683991332909027,0.23683991332909027,0.23800808622495104,0.23800808622495104,0.0011681728958607696,0.0011681728958607696
emp_title,1.253388999955687,1.253388999955687,1.2540457067559336,1.2540457067559336,0.0006567068002465426,0.0006567068002465426
